"","id","amount_tsh","gps_height","longitude","latitude","num_private","basin","region","region_code","district_code","population","public_meeting","scheme_management","permit","construction_year","extraction_type_class","management_group","payment","quality_group","quantity","source","waterpoint_type_group"
"1",50785,0,1996,35.2907992,-4.05969643,0,"Internal","Manyara",21,3,321,"True","Other","True","2010s","other","parastatal","never pay","good","seasonal","spring","other"
"2",51630,0,1569,36.65670893,-3.30921425,0,"Pangani","Arusha",2,2,300,"True","Other","True","2000s","gravity","user-group","never pay","good","insufficient","spring","communal standpipe"
"3",17168,0,1567,34.76786315,-5.00434437,0,"Internal","Singida",13,2,500,"True","Other","Unknown","2010s","other","user-group","never pay","good","insufficient","spring","other"
"4",45559,0,267,38.05804609,-9.41867222,0,"Ruvuma / Southern Coast","Lindi",80,43,250,"Unknown","Other","True","1980s","other","user-group","unknown","good","dry","machine dbh","other"
"5",49871,500,1260,35.00612345,-10.950412,0,"Ruvuma / Southern Coast","Ruvuma",10,3,60,"Unknown","Water authority","True","2000s","gravity","user-group","pay monthly","good","enough","spring","communal standpipe"
"6",52449,0,1685,36.68527855,-3.30242017,0,"Pangani","Arusha",2,2,200,"True","Other","True","1990s","gravity","user-group","never pay","good","enough","spring","communal standpipe"
"7",24806,0,550,36.39804116,-7.54138236,0,"Rufiji","Iringa",11,7,600,"True","Other","True","2000s","handpump","user-group","never pay","salty","enough","shallow well","hand pump"
"8",28965,0,234,39.60741997,-10.89378645,0,"Ruvuma / Southern Coast","Mtwara",9,4,1,"True","Water authority","True","1980s","submersible","user-group","never pay","good","dry","shallow well","communal standpipe"
"9",36301,30,584,39.2629507,-10.82358805,0,"Ruvuma / Southern Coast","Mtwara",90,33,40,"True","Other","False","1990s","gravity","user-group","pay per bucket","good","insufficient","spring","communal standpipe"
"10",54122,0,1083,37.09610836,-3.25175375,0,"Pangani","Kilimanjaro",3,7,1,"True","Water authority","True","2000s","gravity","user-group","pay monthly","good","enough","spring","communal standpipe"
"11",419,5,1259,37.23324768,-3.24112116,0,"Pangani","Kilimanjaro",3,5,75,"True","Water authority","True","2000s","gravity","user-group","pay per bucket","good","enough","spring","communal standpipe"
"12",45750,0,608,37.68639178,-4.55597478,0,"Pangani","Manyara",21,4,500,"True","Other","True","2000s","other","user-group","never pay","good","dry","spring","other"
"13",653,0,0,33.66107435,-4.16572015,0,"Internal","Tabora",14,2,0,"True","Other","True","Unknown","motorpump","user-group","unknown","good","dry","shallow well","communal standpipe"
"14",14017,0,0,33.00768032,-3.2095291,0,"Lake Victoria","Mwanza",19,4,0,"True","Other","True","Unknown","motorpump","user-group","pay per bucket","good","enough","shallow well","communal standpipe"
"15",44607,1000,1625,35.61562385,-7.87029042,0,"Rufiji","Iringa",11,1,1,"True","Other","True","1980s","gravity","user-group","pay monthly","good","enough","spring","communal standpipe"
"16",40228,1200,916,35.48288627,-10.91259619,0,"Ruvuma / Southern Coast","Ruvuma",10,2,0,"True","Other","True","1980s","gravity","user-group","pay annually","good","enough","machine dbh","communal standpipe"
"17",27714,0,-39,39.85018977,-7.72794628,0,"Rufiji","Pwani",6,6,900,"True","Other","False","Unknown","handpump","user-group","never pay","good","enough","machine dbh","hand pump"
"18",28785,200,1793,38.25402354,-4.5658016,0,"Pangani","Tanga",4,1,1,"True","Other","True","1970s","gravity","user-group","pay monthly","good","enough","spring","communal standpipe"
"19",28330,0,0,31.58679783,-3.38780779,0,"Lake Tanganyika","Shinyanga",17,5,0,"True","Other","True","Unknown","gravity","parastatal","unknown","good","seasonal","spring","communal standpipe"
"20",18532,0,368,39.43852591,-10.58336646,0,"Ruvuma / Southern Coast","Mtwara",9,4,300,"True","Water authority","True","1980s","submersible","user-group","never pay","good","dry","shallow well","communal standpipe"
"21",69961,0,-27,39.32230666,-6.85026202,0,"Wami / Ruvu","Dar es Salaam",7,3,120,"True","Private operator","False","2010s","submersible","other","never pay","good","enough","shallow well","communal standpipe"
"22",55083,0,1674,34.94362033,-9.35251465,0,"Rufiji","Iringa",11,4,30,"True","Other","False","2000s","gravity","user-group","never pay","good","insufficient","spring","communal standpipe"
"23",8691,0,1087,31.04608844,-5.05419563,0,"Lake Tanganyika","Kigoma",16,3,1750,"True","Other","True","2000s","other","user-group","unknown","milky","enough","machine dbh","other"
"24",30331,0,1441,34.62104755,-5.16592646,0,"Internal","Singida",13,2,1,"True","Other","Unknown","1970s","motorpump","user-group","unknown","unknown","dry","shallow well","communal standpipe"
"25",70970,0,0,33.72235857,-3.04712172,0,"Lake Victoria","Shinyanga",17,2,0,"True","WUA","False","Unknown","handpump","user-group","never pay","good","enough","machine dbh","hand pump"
"26",61136,200,1726,34.92959242,-9.15287185,0,"Rufiji","Iringa",11,4,50,"True","Other","False","2000s","gravity","user-group","pay monthly","good","enough","spring","communal standpipe"
"27",28799,0,986,35.42444315,-10.57968552,0,"Ruvuma / Southern Coast","Ruvuma",10,2,0,"True","Other","True","2000s","gravity","user-group","never pay","good","dry","machine dbh","communal standpipe"
"28",46825,0,0,35.89487669,-6.14752205,0,"Wami / Ruvu","Dodoma",1,5,0,"True","Other","False","Unknown","motorpump","user-group","pay per bucket","salty","dry","shallow well","communal standpipe"
"29",44718,0,0,0,-2e-08,0,"Lake Victoria","Shinyanga",17,1,0,"True","WUA","False","Unknown","handpump","user-group","pay when scheme fails","salty","enough","machine dbh","hand pump"
