"","amount_tsh","gps_height","longitude","latitude","num_private","basin","region","region_code","district_code","population","public_meeting","scheme_management","permit","construction_year","extraction_type_class","management_group","payment","quality_group","quantity","source","waterpoint_type_group"
0,0.0,1996.0,35.2907992,-4.05969643,0.0,Internal,Manyara,21.0,3.0,321.0,True,Parastatal,True,2012.0,other,parastatal,never pay,good,seasonal,rainwater harvesting,other
1,0.0,1569.0,36.65670893,-3.30921425,0.0,Pangani,Arusha,2.0,2.0,300.0,True,VWC,True,2000.0,gravity,user-group,never pay,good,insufficient,spring,communal standpipe
2,0.0,1567.0,34.76786315,-5.00434437,0.0,Internal,Singida,13.0,2.0,500.0,True,VWC,True,2010.0,other,user-group,never pay,good,insufficient,rainwater harvesting,other
3,0.0,267.0,38.05804609,-9.41867222,0.0,Ruvuma / Southern Coast,Lindi,80.0,43.0,250.0,True,VWC,True,1987.0,other,user-group,unknown,good,dry,shallow well,other
4,500.0,1260.0,35.00612345,-10.950412,0.0,Ruvuma / Southern Coast,Ruvuma,10.0,3.0,60.0,True,Water Board,True,2000.0,gravity,user-group,pay monthly,good,enough,spring,communal standpipe
5,0.0,1685.0,36.68527855,-3.30242017,0.0,Pangani,Arusha,2.0,2.0,200.0,True,VWC,True,1990.0,gravity,user-group,never pay,good,enough,spring,communal standpipe
6,0.0,550.0,36.39804116,-7.54138236,0.0,Rufiji,Iringa,11.0,7.0,600.0,True,VWC,True,2007.0,handpump,user-group,never pay,salty,enough,machine dbh,hand pump
7,0.0,234.0,39.60741997,-10.89378645,0.0,Ruvuma / Southern Coast,Mtwara,9.0,4.0,1.0,True,Water Board,True,1982.0,submersible,user-group,never pay,good,dry,machine dbh,communal standpipe
8,30.0,584.0,39.262950700000005,-10.82358805,0.0,Ruvuma / Southern Coast,Mtwara,90.0,33.0,40.0,True,VWC,False,1997.0,gravity,user-group,pay per bucket,good,insufficient,spring,communal standpipe
9,0.0,1083.0,37.09610836,-3.25175375,0.0,Pangani,Kilimanjaro,3.0,7.0,1.0,True,Water Board,True,2003.0,gravity,user-group,pay monthly,good,enough,spring,communal standpipe
10,5.0,1259.0,37.23324768,-3.24112116,0.0,Pangani,Kilimanjaro,3.0,5.0,75.0,True,Water Board,True,2006.0,gravity,user-group,pay per bucket,good,enough,spring,communal standpipe
11,0.0,608.0,37.68639178,-4.55597478,0.0,Pangani,Manyara,21.0,4.0,500.0,True,VWC,True,2002.0,other,user-group,never pay,good,dry,rainwater harvesting,other
12,0.0,0.0,33.66107435,-4.16572015,0.0,Internal,Tabora,14.0,2.0,0.0,True,Other,True,0.0,motorpump,user-group,unknown,good,dry,machine dbh,communal standpipe
13,0.0,0.0,33.00768032,-3.2095291,0.0,Lake Victoria,Mwanza,19.0,4.0,0.0,True,VWC,True,0.0,motorpump,user-group,pay per bucket,good,enough,machine dbh,communal standpipe
14,1000.0,1625.0,35.61562385,-7.87029042,0.0,Rufiji,Iringa,11.0,1.0,1.0,True,VWC,True,1984.0,gravity,user-group,pay monthly,good,enough,spring,communal standpipe
15,1200.0,916.0,35.48288627,-10.91259619,0.0,Ruvuma / Southern Coast,Ruvuma,10.0,2.0,0.0,True,VWC,True,1989.0,gravity,user-group,pay annually,good,enough,river,communal standpipe
16,0.0,-39.0,39.85018977,-7.72794628,0.0,Rufiji,Pwani,6.0,6.0,900.0,True,VWC,False,0.0,handpump,user-group,never pay,good,enough,shallow well,hand pump
17,200.0,1793.0,38.25402354,-4.5658015999999995,0.0,Pangani,Tanga,4.0,1.0,1.0,True,VWC,True,1978.0,gravity,user-group,pay monthly,good,enough,spring,communal standpipe
18,0.0,0.0,31.58679783,-3.38780779,0.0,Lake Tanganyika,Shinyanga,17.0,5.0,0.0,True,Parastatal,True,0.0,gravity,parastatal,unknown,good,seasonal,rainwater harvesting,communal standpipe
19,0.0,368.0,39.43852591,-10.58336646,0.0,Ruvuma / Southern Coast,Mtwara,9.0,4.0,300.0,True,Water Board,True,1982.0,submersible,user-group,never pay,good,dry,machine dbh,communal standpipe
20,0.0,-27.0,39.32230666,-6.85026202,0.0,Wami / Ruvu,Dar es Salaam,7.0,3.0,120.0,True,SWC,False,2010.0,submersible,other,never pay,good,enough,machine dbh,communal standpipe
21,0.0,1674.0,34.94362033,-9.35251465,0.0,Rufiji,Iringa,11.0,4.0,30.0,True,VWC,False,2008.0,gravity,user-group,never pay,good,insufficient,spring,communal standpipe
22,0.0,1087.0,31.04608844,-5.05419563,0.0,Lake Tanganyika,Kigoma,16.0,3.0,1750.0,True,VWC,True,2005.0,other,user-group,unknown,milky,enough,shallow well,other
23,0.0,1441.0,34.62104755,-5.16592646,0.0,Internal,Singida,13.0,2.0,1.0,True,VWC,True,1970.0,motorpump,user-group,unknown,unknown,dry,machine dbh,communal standpipe
